publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2021,Caso principal,54.7
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2021,Caso principal,770.16
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2021,Caso principal,14.65
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2021,Caso principal,1366.67
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2021,Caso principal,561.3
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2021,Caso principal,415.68
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2022,Caso principal,163.94
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2022,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2022,Caso principal,6.4
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2022,Caso principal,65.03
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2022,Caso principal,835.96
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2022,Caso principal,14.71
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2022,Caso principal,1397.61
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2022,Caso principal,669.6
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2022,Caso principal,529.75
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2023,Caso principal,169.97
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2023,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2023,Caso principal,7
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2023,Caso principal,74.19
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2023,Caso principal,941.38
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2023,Caso principal,14.98
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2023,Caso principal,1410.32
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2023,Caso principal,905.41
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2023,Caso principal,717.46
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2024,Caso principal,174.16
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2024,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2024,Caso principal,7.54
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2024,Caso principal,83.41
